,strain,region,clade_membership,num_date,season,A/Texas/50/2012,A/Perth/16/2009,A/HongKong/4801/2014,A/Wisconsin/67/2005,A/Switzerland/9715293/2013,A/Victoria/361/2011,A/Brisbane/10/2007,A/Alaska/232/2015
200,A/HongKong/CUHK65241/2006,china,unassigned,2006.73921971,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
202,A/Jiangxi/1106/2006,china,unassigned,2006.54757016,2006-2007,18.0,10.0,16.0,6.0,19.0,13.0,5.0,18.0
204,A/Hanoi/BM38/2007,southeast_asia,unassigned,2007.10677618,2006-2007,19.0,11.0,17.0,7.0,20.0,14.0,6.0,19.0
205,A/Taiwan/70307/2007,china,unassigned,2007.09034908,2006-2007,18.0,10.0,16.0,6.0,19.0,13.0,5.0,18.0
208,A/Incheon/682/2006,japan_korea,unassigned,2006.8843258,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
209,A/NewYork/1079/2007,north_america,unassigned,2007.11225188,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
211,A/Scotland/70480685/2007,europe,unassigned,2006.88706366,2006-2007,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
213,A/Hanoi/N080/2007,southeast_asia,unassigned,2007.18617385,2006-2007,18.0,10.0,18.0,6.0,19.0,13.0,5.0,18.0
214,A/Aichi/78/2007,japan_korea,unassigned,2007.36413415,2007-2008,17.0,9.0,17.0,5.0,18.0,12.0,4.0,17.0
217,A/Singapore/57/2006,southeast_asia,unassigned,2006.50924025,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
220,A/Johannesburg/503/2006,africa,unassigned,2006.5065024,2006-2007,17.0,10.0,17.0,5.0,20.0,12.0,4.0,18.0
221,A/Johannesburg/245/2006,africa,unassigned,2006.41615332,2005-2006,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
223,A/NewYork/22/2006,north_america,unassigned,2006.90896646,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
225,A/Pune/614474/2006,south_asia,unassigned,2006.45174538,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
226,A/India/P0614474/2006,south_asia,unassigned,2006.45174538,2006-2007,14.0,7.0,15.0,4.0,17.0,9.0,1.0,15.0
228,A/Pavia/5/2007,europe,unassigned,2007.0,2006-2007,16.0,10.0,18.0,7.0,16.0,12.0,4.0,18.0
230,A/Nepal/997/2006,south_asia,unassigned,2006.52019165,2006-2007,16.0,10.0,18.0,6.0,16.0,12.0,5.0,18.0
231,A/India/Dib0622569/2006,south_asia,unassigned,2006.48459959,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
234,A/HungYen/HY3/2007,southeast_asia,unassigned,2007.15139124,2006-2007,17.0,10.0,18.0,7.0,17.0,13.0,6.0,18.0
236,A/Bangladesh/1999/2006,south_asia,unassigned,2006.80219028,2006-2007,17.0,10.0,18.0,7.0,17.0,13.0,6.0,18.0
238,A/Bangladesh/1695/2007,south_asia,unassigned,2007.42710472,2007-2008,16.0,9.0,17.0,8.0,16.0,12.0,5.0,17.0
239,A/India/K0713780/2007,south_asia,unassigned,2007.55852156,2007-2008,16.0,9.0,17.0,8.0,16.0,12.0,5.0,17.0
241,A/Kiev/111/2007,europe,unassigned,2007.13689254,2007-2008,15.0,9.0,17.0,7.0,15.0,11.0,4.0,17.0
243,A/Egypt/3707/2006,africa,unassigned,2006.95003422,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
245,A/Egypt/51/2006,africa,unassigned,2006.93908282,2006-2007,16.0,10.0,18.0,6.0,16.0,12.0,5.0,18.0
246,A/Egypt/119/2007,africa,unassigned,2007.16427105,2006-2007,16.0,10.0,18.0,6.0,16.0,12.0,5.0,18.0
248,A/HongKong/3055/2006,china,unassigned,2006.77207392,2006-2007,17.0,12.0,20.0,7.0,17.0,14.0,7.0,20.0
251,A/Lyon/22/2007,europe,unassigned,2007.0054757,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
253,A/Nepal/921/2006,south_asia,unassigned,2006.5229295,2006-2007,16.0,10.0,18.0,8.0,16.0,12.0,5.0,18.0
254,A/Kenya/2444/2007,africa,unassigned,2007.0,2006-2007,18.0,12.0,20.0,8.0,18.0,14.0,7.0,20.0
256,A/Lyon/10/2006,europe,unassigned,2006.99110198,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
258,A/Lyon/1320/2006,europe,unassigned,2006.94455852,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
259,A/Lyon/1313/2006,europe,unassigned,2006.96646133,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
261,A/Lyon/1312/2006,europe,unassigned,2006.96646133,2006-2007,17.0,11.0,19.0,7.0,18.0,13.0,6.0,19.0
263,A/NewYork/1090/2007,north_america,unassigned,2007.22997947,2007-2008,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
265,A/Canada/19/2006,north_america,unassigned,2006.96372348,2006-2007,20.0,14.0,22.0,9.0,20.0,16.0,9.0,22.0
267,A/Canada/8/2006,north_america,unassigned,2006.96372348,2006-2007,18.0,12.0,20.0,8.0,18.0,14.0,7.0,20.0
268,A/Canada/20/2006,north_america,unassigned,2006.94182067,2006-2007,18.0,12.0,20.0,8.0,18.0,14.0,7.0,20.0
270,A/Canada/9/2006,north_america,unassigned,2006.96919918,2006-2007,18.0,12.0,20.0,8.0,18.0,14.0,7.0,20.0
271,A/Canada/1213/2006,north_america,unassigned,2006.92813142,2006-2007,18.0,12.0,20.0,8.0,18.0,14.0,7.0,20.0
274,A/Canada/1198/2006,north_america,unassigned,2006.90622861,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
275,A/Canada/CN-RV1198-06/2006,north_america,unassigned,2006.90622861,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
278,A/Canada/1194/2006,north_america,unassigned,2006.90896646,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
279,A/Canada/CN-RV1194-06/2006,north_america,unassigned,2006.90896646,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
281,A/Canada/63/2006,north_america,unassigned,2006.98836413,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
282,A/Canada/1295/2006,north_america,unassigned,2006.96372348,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
286,A/Kolkata/323/2006,south_asia,unassigned,2006.66255989,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
287,A/Serres/77/2007,europe,unassigned,2007.0,2006-2007,16.0,13.0,20.0,7.0,16.0,14.0,8.0,20.0
289,A/Saitama/60/2006,japan_korea,unassigned,2006.80219028,2006-2007,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
291,A/Ivacevichi/115/2007,europe,unassigned,2007.15879535,2007-2008,17.0,11.0,19.0,7.0,17.0,13.0,6.0,19.0
293,A/Hungary/AF1074/2007,europe,unassigned,2007.11225188,2006-2007,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
294,A/Hungary/AF1073/2007,europe,unassigned,2007.11225188,2006-2007,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
297,A/Hungary/AF1075/2007,europe,unassigned,2007.13689254,2007-2008,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
298,A/Hungary/AF1078/2007,europe,unassigned,2007.13689254,2007-2008,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
300,A/Hungary/AF1079/2007,europe,unassigned,2007.13689254,2007-2008,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
302,A/Hungary/AF1077/2007,europe,unassigned,2007.13689254,2007-2008,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
303,A/Hungary/AF1076/2007,europe,unassigned,2007.13689254,2007-2008,17.0,12.0,19.0,8.0,17.0,13.0,7.0,19.0
306,A/NewYork/1082/2007,north_america,unassigned,2007.15879535,2007-2008,17.0,11.0,19.0,9.0,17.0,13.0,6.0,19.0
307,A/Nepal/1445/2006,south_asia,unassigned,2006.52019165,2006-2007,16.0,10.0,18.0,8.0,16.0,12.0,5.0,18.0
309,A/Toulon/1244/2006,europe,unassigned,2006.92813142,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
311,A/Madagascar/2694/2006,africa,unassigned,2006.8678987,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
314,A/Lyon/1292/2006,europe,unassigned,2006.96098563,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
315,A/Lyon/27/2007,europe,unassigned,2007.00821355,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
318,A/Malaysia/1768035/2007,southeast_asia,unassigned,2007.29842574,2007-2008,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
319,A/LangSon/LS156/2007,southeast_asia,unassigned,2007.40520192,2007-2008,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
321,A/Japan/7542/2007,japan_korea,unassigned,2007.13141684,2007-2008,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
322,A/California/UR06-0589/2007,north_america,unassigned,2007.19438741,2006-2007,17.0,10.0,18.0,6.0,18.0,12.0,5.0,18.0
324,A/Hanoi/Q094/2007,southeast_asia,unassigned,2007.08761123,2006-2007,18.0,13.0,19.0,9.0,19.0,13.0,8.0,19.0
325,A/Madagascar/2699/2006,africa,unassigned,2006.8678987,2006-2007,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
326,A/Hanoi/N210/2007,southeast_asia,unassigned,2007.46817248,2007-2008,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
328,A/Hawaii/12/2007,north_america,unassigned,2007.30390144,2007-2008,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
330,A/Dnipropetrovsk/429/2007,europe,unassigned,2007.15605749,2007-2008,17.0,12.0,18.0,8.0,18.0,12.0,7.0,18.0
331,A/Netherlands/363/2006,europe,unassigned,2006.97741273,2006-2007,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
333,A/Japan/44/2007,japan_korea,unassigned,2007.7118412,2007-2008,17.0,12.0,18.0,8.0,18.0,12.0,7.0,18.0
335,A/Korea/71/2006,japan_korea,unassigned,2006.98015058,2006-2007,17.0,12.0,18.0,8.0,18.0,12.0,7.0,18.0
336,A/Ulaanbaatar/1106/2007,west_asia,unassigned,2007.09856263,2006-2007,18.0,13.0,19.0,9.0,19.0,13.0,8.0,19.0
338,A/Gyeongnam/851/2006,japan_korea,unassigned,2006.96919918,2006-2007,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
339,A/Japan/54/2007,japan_korea,unassigned,2007.7118412,2007-2008,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
340,A/Gyeongnam/719/2006,japan_korea,unassigned,2006.93086927,2006-2007,16.0,11.0,17.0,7.0,17.0,11.0,6.0,17.0
346,A/Usa/AF1023/2006,north_america,unassigned,2006.82683094,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
347,A/England/560/2006,europe,unassigned,2006.88980151,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
349,A/Brisbane/256/2006,oceania,unassigned,2006.71457906,2006-2007,16.0,9.0,17.0,2.0,17.0,11.0,3.0,17.0
351,A/Pune/622622/2006,south_asia,unassigned,2006.71457906,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
352,A/India/P0622622/2006,south_asia,unassigned,2006.71457906,2006-2007,16.0,9.0,17.0,4.0,19.0,11.0,3.0,17.0
356,A/England/646836/2006,europe,unassigned,2006.84873374,2006-2007,15.0,9.0,16.0,4.0,18.0,10.0,3.0,16.0
358,A/England/556/2006,europe,unassigned,2006.84873374,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
359,A/Brisbane/287/2006,oceania,unassigned,2006.71457906,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
361,A/Pavia/4/2007,europe,unassigned,2007.0,2006-2007,15.0,8.0,16.0,3.0,18.0,10.0,2.0,16.0
